file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	4-5		
notices.md	NOTICES	typed	typed	prose	typed	5-6		
edition.md	EDITION	typed	typed	prose	typed	6-8		
contents.md	CONTENTS	typed	typed	generated navigation	typed	8-21		
figures.md	FIGURES	typed	typed	generated list	typed	21-22		
tables.md	TABLES	typed	typed	generated list	typed	22-29		
notices_1.md	NOTICES_1	typed	typed	prose	typed	29-31		
notices_1-1.md	NOTICES_1.1	typed	typed	prose	typed	31-32		
preface.md	PREFACE	typed	typed	prose	typed	32-33		
preface-1.md	PREFACE.1	typed	typed	prose	typed	33-34		
preface-2.md	PREFACE.2	typed	typed	prose	typed	34-35		
preface-3.md	PREFACE.3	typed	typed	prose	typed	35-36		
preface-4.md	PREFACE.4	typed	typed	prose	typed	36-37		
preface-5.md	PREFACE.5	typed	typed	prose	typed	37-38		
roadmap.md	ROADMAP	typed	typed	prose	typed	38-45		
preface-6.md	PREFACE.6	typed	typed	prose	typed	45-46		
front_1.md	FRONT_1	typed	typed	prose	typed	46-47		
front_1-1.md	FRONT_1.1	typed	typed	prose	typed	47-48		
front_1-2.md	FRONT_1.2	typed	typed	prose	typed	48-49		
front_1-2-1.md	FRONT_1.2.1	typed	typed	prose	typed	49-52		
front_1-2-2.md	FRONT_1.2.2	typed	typed	prose	typed	52-54		
front_1-3.md	FRONT_1.3	typed	typed	prose	typed	54-55		
front_1-3-1.md	FRONT_1.3.1	typed	typed	prose	typed	55-56		
front_1-3-2.md	FRONT_1.3.2	typed	typed	prose	typed	56-59		
1-0.md	1.0	best-effort	best-effort		typed-lowering-declined	59-62		prose topic rejected: placeholder run '?' is followed by visible text at record 59 token 163
1-1.md	1.1	typed	typed	prose	typed	62-63		
1-2.md	1.2	typed	typed	prose	typed	63-66		
1-2-1.md	1.2.1	typed	typed	prose	typed	66-67		
1-2-2.md	1.2.2	typed	typed	prose	typed	67-68		
1-2-3.md	1.2.3	typed	typed	prose	typed	68-69		
1-2-4.md	1.2.4	typed	typed	prose	typed	69-70		
1-2-5.md	1.2.5	typed	typed	prose	typed	70-71		
1-2-6.md	1.2.6	typed	typed	prose	typed	71-72		
1-3.md	1.3	typed	typed	prose	typed	72-76		
1-4.md	1.4	typed	typed	prose	typed	76-81		
1-5.md	1.5	typed	typed	prose	typed	81-87		
1-5-1.md	1.5.1	typed	typed	prose	typed	87-88		
1-5-1-1.md	1.5.1.1	typed	typed	prose	typed	88-94		
1-6.md	1.6	typed	typed	prose	typed	94-105		
1-6-1.md	1.6.1	typed	typed	prose	typed	105-107		
2-0.md	2.0	typed	typed	prose	typed	107-114		
2-1.md	2.1	typed	typed	prose	typed	114-115		
2-2.md	2.2	typed	typed	prose	typed	115-121		
2-3.md	2.3	typed	typed	prose	typed	121-128		
2-3-1.md	2.3.1	typed	typed	prose	typed	128-130		
2-3-2.md	2.3.2	typed	typed	prose	typed	130-132		
2-3-3.md	2.3.3	typed	typed	prose	typed	132-135		
2-3-4.md	2.3.4	typed	typed	prose	typed	135-136		
2-3-5.md	2.3.5	typed	typed	prose	typed	136-139		
2-4.md	2.4	typed	typed	prose	typed	139-140		
2-4-1.md	2.4.1	typed	typed	prose	typed	140-144		
2-4-2.md	2.4.2	typed	typed	prose	typed	144-145		
2-4-3.md	2.4.3	typed	typed	prose	typed	145-147		
3-0.md	3.0	typed	typed	prose	typed	147-148		
3-1.md	3.1	typed	typed	prose	typed	148-151		
3-2.md	3.2	typed	typed	prose	typed	151-153		
3-3.md	3.3	typed	typed	prose	typed	153-154		
3-4.md	3.4	typed	typed	prose	typed	154-157		
3-5.md	3.5	typed	typed	prose	typed	157-159		
3-6.md	3.6	typed	typed	prose	typed	159-160		
3-6-1.md	3.6.1	typed	typed	prose	typed	160-162		
3-6-2.md	3.6.2	typed	typed	prose	typed	162-165		
3-6-3.md	3.6.3	typed	typed	prose	typed	165-168		
3-6-3-1.md	3.6.3.1	typed	typed	prose	typed	168-169		
3-6-4.md	3.6.4	typed	typed	prose	typed	169-170		
3-6-4-1.md	3.6.4.1	typed	typed	prose	typed	170-171		
3-6-4-2.md	3.6.4.2	typed	typed	prose	typed	171-173		
3-6-4-3.md	3.6.4.3	typed	typed	prose	typed	173-175		
3-6-4-4.md	3.6.4.4	typed	typed	prose	typed	175-176		
3-6-4-5.md	3.6.4.5	typed	typed	prose	typed	176-178		
3-7.md	3.7	typed	typed	prose	typed	178-179		
3-7-1.md	3.7.1	typed	typed	prose	typed	179-182		
3-7-2.md	3.7.2	typed	typed	prose	typed	182-185		
3-7-3.md	3.7.3	typed	typed	prose	typed	185-187		
3-7-3-1.md	3.7.3.1	typed	typed	prose	typed	187-188		
3-7-4.md	3.7.4	typed	typed	prose	typed	188-189		
3-7-4-1.md	3.7.4.1	typed	typed	prose	typed	189-190		
3-7-4-2.md	3.7.4.2	typed	typed	prose	typed	190-192		
3-7-4-3.md	3.7.4.3	typed	typed	prose	typed	192-193		
3-7-4-4.md	3.7.4.4	typed	typed	prose	typed	193-194		
3-7-4-5.md	3.7.4.5	typed	typed	prose	typed	194-196		
3-8.md	3.8	typed	typed	prose	typed	196-197		
3-8-1.md	3.8.1	typed	typed	prose	typed	197-201		
3-8-2.md	3.8.2	typed	typed	prose	typed	201-204		
3-8-3.md	3.8.3	typed	typed	prose	typed	204-206		
3-8-3-1.md	3.8.3.1	typed	typed	prose	typed	206-207		
3-8-4.md	3.8.4	typed	typed	prose	typed	207-208		
3-8-4-1.md	3.8.4.1	best-effort	best-effort		typed-lowering-declined	208-209		prose topic rejected: table envelope 'TBLUNIQ97' declined: table envelope is not closed by SRETBL
3-8-4-2.md	3.8.4.2	typed	typed	prose	typed	209-211		
3-8-4-3.md	3.8.4.3	typed	typed	prose	typed	211-217		
3-8-4-4.md	3.8.4.4	typed	typed	prose	typed	217-219		
3-8-4-5.md	3.8.4.5	typed	typed	prose	typed	219-223		
