file	id	severity	route	family	reason	records	degraded	detail
title.md	TITLE	typed	typed	prose	typed	2-3		
notices.md	NOTICES	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
contents.md	CONTENTS	typed	typed	generated navigation	typed	6-8		
front_1.md	FRONT_1	typed	typed	prose	typed	8-9		
front_1-1.md	FRONT_1.1	typed	typed	prose	typed	9-10		
front_1-2.md	FRONT_1.2	typed	typed	prose	typed	10-11		
preface.md	PREFACE	typed	typed	prose	typed	11-13		
preface-1.md	PREFACE.1	typed	typed	prose	typed	13-14		
preface-2.md	PREFACE.2	typed	typed	prose	typed	14-16		
preface-3.md	PREFACE.3	typed	typed	prose	typed	16-17		
preface-4.md	PREFACE.4	typed	typed	prose	typed	17-20		
preface-4-1.md	PREFACE.4.1	typed	typed	prose	typed	20-32		
preface-4-2.md	PREFACE.4.2	typed	typed	prose	typed	32-50		
preface-4-3.md	PREFACE.4.3	typed	typed	prose	typed	50-51		
preface-4-3-1.md	PREFACE.4.3.1	typed	typed	prose	typed	51-52		
preface-4-3-2.md	PREFACE.4.3.2	typed	typed	prose	typed	52-53		
preface-4-4.md	PREFACE.4.4	typed	typed	prose	typed	53-84		
changes.md	CHANGES	typed	typed	prose	typed	84-116		
1-0.md	1.0	typed	typed	prose	typed	116-118		
1-1.md	1.1	typed	typed	prose	typed	118-120		
1-2.md	1.2	typed	typed	prose	typed	120-122		
1-2-1.md	1.2.1	typed	typed	prose	typed	122-125		
1-2-2.md	1.2.2	typed	typed	prose	typed	125-128		
1-2-3.md	1.2.3	typed	typed	prose	typed	128-134		
1-2-4.md	1.2.4	best-effort	best-effort		typed-lowering-declined	134-150		prose topic rejected: ST title 'Messages Sent to Hard-Copy Log in JES3 System' does not match the topic title 'Messages Sent to Hard-Copy Log in JES3 System Access' [run 'Messages Sent to Hard-Copy Log in JES3 System Messages sent to the JESMSG hard-copy log in a JES3 system appear in the format: Messages sent to the MLOG/DLOG hard-copy log in a JES3 system appear as follows: Messages sent to the MLOG/DLOG hard-copy log appear in the format: dest JES3 destination class, which corresponds to the MVS routing code. console JES3 console name or MVS console identifier, as follows: blank For a message issued without a console identifier. nnnnnnnn The JES3 console name (JNAME) from the']
1-2-5.md	1.2.5	typed	typed	prose	typed	150-151		
2-0.md	2.0	typed	typed	trap catalog	typed	151-178		
3-0.md	3.0	typed	typed	trap catalog	typed	178-281		
4-0.md	4.0	typed	typed	trap catalog	typed	281-311		
5-0.md	5.0	typed	typed	trap catalog	typed	311-329		
6-0.md	6.0	typed	typed	trap catalog	typed	329-396		
7-0.md	7.0	typed	typed	trap catalog	typed	396-403		
8-0.md	8.0	typed	typed	trap catalog	typed	403-407		
9-0.md	9.0	best-effort	best-effort		typed-lowering-declined	407-471		prose topic rejected: body control SRMSG is outside the prose model
10-0.md	10.0	best-effort	best-effort		typed-lowering-declined	471-652		prose topic rejected: body control SRMSG is outside the prose model
11-0.md	11.0	best-effort	best-effort		typed-lowering-declined	652-675		prose topic rejected: body control SRMSG is outside the prose model
12-0.md	12.0	typed	typed	trap catalog	typed	675-678		
13-0.md	13.0	typed	typed	trap catalog	typed	678-685		
14-0.md	14.0	typed	typed	trap catalog	typed	685-757		
15-0.md	15.0	best-effort	best-effort		typed-lowering-declined	757-848		prose topic rejected: body control SRMSG is outside the prose model
16-0.md	16.0	best-effort	best-effort		typed-lowering-declined	848-1471		prose topic rejected: body control SRMSG is outside the prose model
17-0.md	17.0	typed	typed	trap catalog	typed	1471-1555		
18-0.md	18.0	typed	typed	trap catalog	typed	1555-1662		
19-0.md	19.0	typed	typed	trap catalog	typed	1662-1688		
20-0.md	20.0	typed	typed	trap catalog	typed	1688-1814		
21-0.md	21.0	best-effort	best-effort		typed-lowering-declined	1814-1975		prose topic rejected: body control SRMSG is outside the prose model
22-0.md	22.0	typed	typed	trap catalog	typed	1975-1990		
23-0.md	23.0	best-effort	best-effort		typed-lowering-declined	1990-2112		prose topic rejected: body control SRMSG is outside the prose model
24-0.md	24.0	best-effort	best-effort		typed-lowering-declined	2112-2117		prose topic rejected: body control SRMSG is outside the prose model
25-0.md	25.0	typed	typed	trap catalog	typed	2117-2177		
26-0.md	26.0	typed	typed	trap catalog	typed	2177-2259		
27-0.md	27.0	typed	typed	trap catalog	typed	2259-2278		
28-0.md	28.0	typed	typed	trap catalog	typed	2278-3343		
# summary	best-effort=9	typed=45	total=54
