file	id	severity	route	family	reason	records	degraded	detail
title.md	TITLE	typed	typed	prose	typed	3-4		
cover.md	COVER	typed	typed	prose	typed	4-5		
edition.md	EDITION	typed	typed	prose	typed	5-7		
front1.md	FRONT1	typed	typed	prose	typed	7-9		
preface.md	PREFACE	typed	typed	prose	typed	9-15		
preface-1.md	PREFACE.1	typed	typed	prose	typed	15-16		
preface-2.md	PREFACE.2	best-effort	best-effort		typed-lowering-declined	16-20		prose topic rejected: topic metadata controls are incomplete or out of order
preface-3.md	PREFACE.3	typed	typed	prose	typed	20-22		
preface-4.md	PREFACE.4	typed	typed	prose	typed	22-24		
preface-5.md	PREFACE.5	typed	typed	prose	typed	24-25		
preface-5-1.md	PREFACE.5.1	typed	typed	prose	typed	25-26		
preface-5-2.md	PREFACE.5.2	typed	typed	prose	typed	26-27		
preface-5-3.md	PREFACE.5.3	typed	typed	prose	typed	27-28		
preface-5-4.md	PREFACE.5.4	typed	typed	prose	typed	28-29		
preface-5-5.md	PREFACE.5.5	typed	typed	prose	typed	29-30		
preface-6.md	PREFACE.6	typed	typed	prose	typed	30-34		
contents.md	CONTENTS	typed	typed	generated navigation	typed	34-42		
1-0.md	1.0	typed	typed	prose	typed	42-44		
1-1.md	1.1	best-effort	best-effort		typed-lowering-declined	44-64		prose topic rejected: placeholder run '?' is followed by visible text at record 48 token 199
1-2.md	1.2	best-effort	best-effort		typed-lowering-declined	64-73		prose topic rejected: placeholder run '?' is followed by visible text at record 65 token 72
1-3.md	1.3	typed	typed	prose	typed	73-81		
1-4.md	1.4	typed	typed	prose	typed	81-90		
1-5.md	1.5	typed	typed	prose	typed	90-94		
1-6.md	1.6	typed	typed	prose	typed	94-106		
1-7.md	1.7	typed	typed	prose	typed	106-116		
1-8.md	1.8	best-effort	best-effort		typed-lowering-declined	116-131		prose topic rejected: placeholder run '?' is followed by visible text at record 118 token 237
1-9.md	1.9	typed	typed	prose	typed	131-150		
1-10.md	1.10	typed	typed	prose	typed	150-158		
1-10-1.md	1.10.1	typed	typed	prose	typed	158-163		
1-10-2.md	1.10.2	typed	typed	prose	typed	163-168		
1-10-3.md	1.10.3	typed	typed	prose	typed	168-179		
1-10-4.md	1.10.4	typed	typed	prose	typed	179-186		
1-11.md	1.11	typed	typed	prose	typed	186-194		
1-12.md	1.12	best-effort	best-effort		typed-lowering-declined	194-205		prose topic rejected: placeholder run '?' is followed by visible text at record 202 token 148
1-13.md	1.13	typed	typed	prose	typed	205-219		
1-14.md	1.14	typed	typed	prose	typed	219-226		
1-15.md	1.15	typed	typed	prose	typed	226-238		
1-16.md	1.16	typed	typed	prose	typed	238-246		
1-17.md	1.17	typed	typed	prose	typed	246-257		
1-18.md	1.18	typed	typed	prose	typed	257-258		
1-18-1.md	1.18.1	typed	typed	prose	typed	258-261		
1-18-2.md	1.18.2	typed	typed	prose	typed	261-264		
1-18-3.md	1.18.3	best-effort	best-effort		typed-lowering-declined	264-271		prose topic rejected: placeholder run '?' is followed by visible text at record 266 token 209
1-19.md	1.19	typed	typed	prose	typed	271-275		
1-20.md	1.20	best-effort	best-effort		typed-lowering-declined	275-281		prose topic rejected: token 97 of record 277 is a display-line length byte and cannot be claimed as displayed text
1-21.md	1.21	best-effort	best-effort		typed-lowering-declined	281-288		prose topic rejected: token 67 of record 283 is a display-line length byte and cannot be claimed as displayed text
1-22.md	1.22	typed	typed	prose	typed	288-291		
1-23.md	1.23	best-effort	best-effort		typed-lowering-declined	291-296		prose topic rejected: token 143 of record 293 is a display-line length byte and cannot be claimed as displayed text
1-24.md	1.24	typed	typed	prose	typed	296-299		
1-25.md	1.25	best-effort	best-effort		typed-lowering-declined	299-304		prose topic rejected: token 0 of record 301 is a display-line length byte and cannot be claimed as displayed text
1-26.md	1.26	best-effort	best-effort		typed-lowering-declined	304-308		prose topic rejected: token 235 of record 305 is a display-line length byte and cannot be claimed as displayed text
1-27.md	1.27	best-effort	best-effort		typed-lowering-declined	308-311		prose topic rejected: token 214 of record 309 is a display-line length byte and cannot be claimed as displayed text
1-28.md	1.28	typed	typed	prose	typed	311-314		
1-29.md	1.29	typed	typed	prose	typed	314-315		
1-29-1.md	1.29.1	typed	typed	prose	typed	315-319		
1-29-2.md	1.29.2	typed	typed	prose	typed	319-325		
1-29-3.md	1.29.3	typed	typed	prose	typed	325-328		
1-29-4.md	1.29.4	best-effort	best-effort		typed-lowering-declined	328-333		prose topic rejected: text segment begins with control-like word 'ctoce' in record 329
1-29-5.md	1.29.5	typed	typed	prose	typed	333-339		
1-29-6.md	1.29.6	typed	typed	prose	typed	339-343		
1-30.md	1.30	typed	typed	prose	typed	343-352		
2-0.md	2.0	typed	typed	prose	typed	352-353		
2-1.md	2.1	typed	typed	prose	typed	353-354		
2-1-1.md	2.1.1	best-effort	best-effort		typed-lowering-declined	354-358		prose topic rejected: text segment begins with control-like word 'SRELISoptwo' in record 354
2-1-2.md	2.1.2	typed	typed	prose	typed	358-360		
2-1-2-1.md	2.1.2.1	typed	typed	prose	typed	360-376		
2-1-2-2.md	2.1.2.2	typed	typed	prose	typed	376-378		
2-1-3.md	2.1.3	typed	typed	prose	typed	378-390		
2-1-4.md	2.1.4	typed	typed	prose	typed	390-395		
2-1-5.md	2.1.5	typed	typed	prose	typed	395-402		
2-1-5-1.md	2.1.5.1	typed	typed	prose	typed	402-405		
2-1-5-2.md	2.1.5.2	typed	typed	prose	typed	405-411		
2-1-6.md	2.1.6	typed	typed	prose	typed	411-420		
2-1-7.md	2.1.7	typed	typed	prose	typed	420-421		
2-1-7-1.md	2.1.7.1	typed	typed	prose	typed	421-434		
2-1-7-2.md	2.1.7.2	typed	typed	prose	typed	434-447		
2-2.md	2.2	typed	typed	prose	typed	447-455		
2-3.md	2.3	typed	typed	prose	typed	455-456		
2-3-1.md	2.3.1	typed	typed	prose	typed	456-468		
2-3-2.md	2.3.2	typed	typed	prose	typed	468-480		
2-4.md	2.4	typed	typed	prose	typed	480-485		
2-5.md	2.5	typed	typed	prose	typed	485-490		
2-6.md	2.6	typed	typed	prose	typed	490-497		
2-7.md	2.7	typed	typed	prose	typed	497-501		
2-8.md	2.8	typed	typed	prose	typed	501-506		
2-9.md	2.9	typed	typed	prose	typed	506-509		
2-10.md	2.10	typed	typed	prose	typed	509-514		
3-0.md	3.0	typed	typed	prose	typed	514-515		
3-1.md	3.1	typed	typed	prose	typed	515-516		
3-1-1.md	3.1.1	best-effort	best-effort		typed-lowering-declined	516-521		prose topic rejected: structural control SRLIStres is not a bare anchor
3-1-2.md	3.1.2	best-effort	best-effort		typed-lowering-declined	521-525		prose topic rejected: token 73 of record 522 is a display-line length byte and cannot be claimed as displayed text
3-1-2-1.md	3.1.2.1	typed	typed	prose	typed	525-527		
3-1-2-2.md	3.1.2.2	typed	typed	prose	typed	527-530		
